,index,M_Call_Name,M_Call_Arg,Receiver_var,File_Name_x,MethodName,M_Call_Arg_len,Swap_arg_listing,MethodClass,M_D_Name,M_D_Arg,File_Name_y,Class_name,M_D_Arg_len,File_Name_without_extension
18,18,add_content_handler,"_append_json ; <class 'str'>, ",,D:\Testing\joestump\django-ajax\ajax\middleware\DebugToolbar.py,add_content_handler,2,_append_json ; <class 'str'>,,,,,,,
19,19,add_content_handler,"_append_json ; <class 'str'>, List_value ; List",,D:\Testing\joestump\django-ajax\ajax\middleware\DebugToolbar.py,add_content_handler,2, List_value ; List _append_json ; <class 'str'>,,,,,,,
20,20,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'window', 'first_line'",D:\Testing\Julian\PyVi\pyvi\window.py,Buffer,3.0,window
21,21,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,'self',D:\Testing\Julian\PyVi\pyvi\window.py,Window,1.0,window
22,22,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'a'",D:\Testing\justdark\dml\build\lib\dml\tool\heap.py,Heap,2.0,heap
23,23,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'el'",D:\Testing\kachayev\fn.py\fn\immutable\heap.py,SkewHeap,2.0,heap
24,24,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'el'",D:\Testing\kachayev\fn.py\fn\immutable\heap.py,PairingHeap,2.0,heap
25,25,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'word'",D:\Testing\kamyu104\LeetCode\Python\implement-trie-prefix-tree.py,Trie,2.0,implement-trie-prefix-tree
26,26,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'key', 'value'",D:\Testing\katharosada\botchallenge\client\google\protobuf\internal\containers.py,RepeatedScalarFieldContainer,3.0,containers
27,27,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'lineno', 'obj'",D:\Testing\kdart\pycopia\process\pycopia\crontab.py,CrontabFile,3.0,crontab
28,28,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'ind', 'obj'",D:\Testing\kdart\pycopia\WWW\pycopia\WWW\XHTML.py,XHTMLDocument,3.0,XHTML
29,29,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\WWW\pycopia\WWW\XHTML.py,DynamicNode,3.0,XHTML
30,30,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'data'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,Text,2.0,POM
31,31,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,Comment,3.0,POM
32,32,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'data', 'encoding'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,ASIS,3.0,POM
33,33,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'obj'",D:\Testing\kdart\pycopia\XML\pycopia\XML\POM.py,ElementNode,3.0,POM
34,34,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'value'",D:\Testing\kennethreitz\tablib\tablib\core.py,Row,3.0,core
35,35,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'row', 'tags'",D:\Testing\kennethreitz\tablib\tablib\core.py,Dataset,4.0,core
36,36,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'kwargs'",D:\Testing\kimpettersen\random-sublime-text-plugin\random.py,RandomWindow,2.0,random
37,37,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'view', 'generator'",D:\Testing\kimpettersen\random-sublime-text-plugin\random.py,RandomText,3.0,random
38,38,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'i', 'value'",D:\Testing\kroger\pyknon\pyknon\music.py,NoteSeq,3.0,music
39,39,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'index', 'items'",D:\Testing\kuri65536\python-for-android\python-modules\twisted\twisted\spread\ui\tkutil.py,CList,3.0,tkutil
40,40,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'edit', 'location', 'text'",D:\Testing\lifted-studios\AutoCopyright\tests\MockView.py,MockView,4.0,MockView
41,41,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'documents'",D:\Testing\lonelycode\Mojo\Mojo\Backends\PyMongoBackend\pymongo_backend.py,Collection,2.0,pymongo_backend
42,42,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'self', 'documents'",D:\Testing\lonelycode\Mojo\Mojo\Backends\base_interface.py,CollectionModelInterface,2.0,base_interface
43,43,"sys,path,insert","0 ; <class 'int'>, ../ ; <class 'str'>",,D:\Testing\joestump\django-ajax\tests\settings.py,insert,2, ../ ; <class 'str'> 0 ; <class 'int'>,sys,insert,"'klass', 'to_insert'",D:\Testing\lonelycode\Mojo\Mojo\ObjectMapper\ModelPrototype.py,Model,2.0,ModelPrototype
224,224,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'window', 'first_line'",D:\Testing\Julian\PyVi\pyvi\window.py,Buffer,3.0,window
225,225,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,'self',D:\Testing\Julian\PyVi\pyvi\window.py,Window,1.0,window
226,226,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'a'",D:\Testing\justdark\dml\build\lib\dml\tool\heap.py,Heap,2.0,heap
227,227,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'el'",D:\Testing\kachayev\fn.py\fn\immutable\heap.py,SkewHeap,2.0,heap
228,228,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'el'",D:\Testing\kachayev\fn.py\fn\immutable\heap.py,PairingHeap,2.0,heap
229,229,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'word'",D:\Testing\kamyu104\LeetCode\Python\implement-trie-prefix-tree.py,Trie,2.0,implement-trie-prefix-tree
230,230,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'key', 'value'",D:\Testing\katharosada\botchallenge\client\google\protobuf\internal\containers.py,RepeatedScalarFieldContainer,3.0,containers
231,231,"sys,path,insert","0 ; <class 'int'>, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'>",,D:\Testing\joeyb\joeyb-blog\main.py,insert,2, <ast.Name object at 0x0000026C96D7DD60> ; <class 'ast.Name'> 0 ; <class 'int'>,sys,insert,"'self', 'lineno', 'obj'",D:\Testing\kdart\pycopia\process\pycopia\crontab.py,CrontabFile,3.0,crontab
