,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,Swap_arg_listing,MethodClass
0,adapts,"IRequest ; <class 'str'>, ISettings ; <class 'str'>",,D:\Testing\00\wikihouse\asset.py,adapts,2, ISettings ; <class 'str'> IRequest ; <class 'str'>,
5,"yaml,add_representer","MyOrderedDict ; <class 'str'>, ",,D:\Testing\0k\shyaml\shyaml.py,add_representer,2,MyOrderedDict ; <class 'str'>,yaml
6,"yaml,add_constructor","<ast.Attribute object at 0x000002301B2702E0> ; <class 'ast.Attribute'>, ",,D:\Testing\0k\shyaml\shyaml.py,add_constructor,2,<ast.Attribute object at 0x000002301B2702E0> ; <class 'ast.Attribute'>,yaml
7,Fingerprint,"Dart ; <class 'str'>, Dart Image 1.1.21 https://pub.dartlang.org/packages/image ; <class 'str'>, ",dart,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Dart Image 1.1.21 https://pub.dartlang.org/packages/image ; <class 'str'> Dart ; <class 'str'>,
8,Fingerprint,".Net 4.5 ; <class 'str'>, .Net 4.5 ; <class 'str'>, ",dotnet,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, .Net 4.5 ; <class 'str'> .Net 4.5 ; <class 'str'>,
9,Fingerprint,"Erlang erl_img ; <class 'str'>, Erlang erl_img evanmiller fork https://github.com/evanmiller/erl_img ; <class 'str'>, ",erlang,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Erlang erl_img evanmiller fork https://github.com/evanmiller/erl_img ; <class 'str'> Erlang erl_img ; <class 'str'>,
10,Fingerprint,"Go 1.0.2 ; <class 'str'>, go 1.0.2 ; <class 'str'>, ",golang,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, go 1.0.2 ; <class 'str'> Go 1.0.2 ; <class 'str'>,
11,Fingerprint,"Haskell JuicyPixels ; <class 'str'>, Haskell JuicyPixels 3.1.5.2 https://hackage.haskell.org/package/JuicyPixels ; <class 'str'>, ",haskelljuicy,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Haskell JuicyPixels 3.1.5.2 https://hackage.haskell.org/package/JuicyPixels ; <class 'str'> Haskell JuicyPixels ; <class 'str'>,
12,Fingerprint,"ImageMagick ; <class 'str'>, ImageMagick 6.7.7-10 2013-09-10 Q16 ; <class 'str'>, ",imagemagick,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, ImageMagick 6.7.7-10 2013-09-10 Q16 ; <class 'str'> ImageMagick ; <class 'str'>,
13,Fingerprint,"OpenJDK 7 ; <class 'str'>, OpenJDK Runtime Environment (IcedTea 2.3.9) (7u21-2.3.9-1ubuntu1) ; <class 'str'>, ",java7,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, OpenJDK Runtime Environment (IcedTea 2.3.9) (7u21-2.3.9-1ubuntu1) ; <class 'str'> OpenJDK 7 ; <class 'str'>,
