,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,MethodClass,Swap_arg_listing
0,"parser,add_argument","-f ; <class 'str'>, --consumerfile ; <class 'str'>",,D:\Testing\GetLevvel\message-simulator\src\__start_rabbit_mq_consumer.py,add_argument,2,parser, --consumerfile ; <class 'str'> -f ; <class 'str'>
1,"parser,add_argument","-d ; <class 'str'>, --debug ; <class 'str'>",,D:\Testing\GetLevvel\message-simulator\src\__start_rabbit_mq_consumer.py,add_argument,2,parser, --debug ; <class 'str'> -d ; <class 'str'>
2,"parser,add_argument","-f ; <class 'str'>, --simfile ; <class 'str'>",,D:\Testing\GetLevvel\message-simulator\run_message_simulation.py,add_argument,2,parser, --simfile ; <class 'str'> -f ; <class 'str'>
3,"parser,add_argument","-d ; <class 'str'>, --debug ; <class 'str'>",,D:\Testing\GetLevvel\message-simulator\run_message_simulation.py,add_argument,2,parser, --debug ; <class 'str'> -d ; <class 'str'>
18,hasattr,"sys ; <class 'str'>, pypy_version_info ; <class 'str'>",_PYPY,D:\Testing\getlogbook\logbook\scripts\travis_build.py,hasattr,2,, pypy_version_info ; <class 'str'> sys ; <class 'str'>
20,Blueprint,"saml_auth ; <class 'str'>, __name__ ; <class 'str'>",blueprint,D:\Testing\getredash\redash\redash\authentication\saml_auth.py,Blueprint,2,, __name__ ; <class 'str'> saml_auth ; <class 'str'>
21,Blueprint,"redash ; <class 'str'>, __name__ ; <class 'str'>",routes,D:\Testing\getredash\redash\redash\handlers\base.py,Blueprint,2,, __name__ ; <class 'str'> redash ; <class 'str'>
37,Column,"Integer ; <class 'str'>, ",repository_id,D:\Testing\getsentry\freight\freight\models\app.py,Column,2,,"Integer ; <class 'str'>, "
43,Column,"Integer ; <class 'str'>, ",task_id,D:\Testing\getsentry\freight\freight\models\deploy.py,Column,2,,"Integer ; <class 'str'>, "
44,Column,"Integer ; <class 'str'>, ",app_id,D:\Testing\getsentry\freight\freight\models\deploy.py,Column,2,,"Integer ; <class 'str'>, "
48,Column,"Integer ; <class 'str'>, ",task_id,D:\Testing\getsentry\freight\freight\models\logchunk.py,Column,2,,"Integer ; <class 'str'>, "
59,Column,"Integer ; <class 'str'>, ",app_id,D:\Testing\getsentry\freight\freight\models\task.py,Column,2,,"Integer ; <class 'str'>, "
60,Column,"Integer ; <class 'str'>, ",user_id,D:\Testing\getsentry\freight\freight\models\task.py,Column,2,,"Integer ; <class 'str'>, "
72,patterns," ; <class 'str'>, , ",urlpatterns,D:\Testing\getsentry\raven-python\raven\contrib\django\urls.py,patterns,3,, ; <class 'str'>
75,hasattr,"select ; <class 'str'>, select ;<class 'str'>",is_available,D:\Testing\getsentry\rb\rb\poll.py,hasattr,2,, select ;<class 'str'> select ; <class 'str'>
76,hasattr,"select ; <class 'str'>, poll ;<class 'str'>",is_available,D:\Testing\getsentry\rb\rb\poll.py,hasattr,2,, poll ;<class 'str'> select ; <class 'str'>
77,hasattr,"select ; <class 'str'>, kqueue ;<class 'str'>",is_available,D:\Testing\getsentry\rb\rb\poll.py,hasattr,2,, kqueue ;<class 'str'> select ; <class 'str'>
78,hasattr,"select ; <class 'str'>, epoll ;<class 'str'>",is_available,D:\Testing\getsentry\rb\rb\poll.py,hasattr,2,, epoll ;<class 'str'> select ; <class 'str'>
79,open,"<ast.Name object at 0x000001C897838970> ; <class 'ast.Name'>, r+ ; <class 'str'>",devnull,D:\Testing\getsentry\rb\rb\testing.py,open,2,, r+ ; <class 'str'> <ast.Name object at 0x000001C897838970> ; <class 'ast.Name'>
80,namedtuple,"Call ; <class 'str'>, List_value ; List",Call,D:\Testing\getsentry\responses\responses.py,namedtuple,2,, List_value ; List Call ; <class 'str'>
87,add_introspection_rules,"List_value ; List, ",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,,List_value ; List
88,add_introspection_rules,"List_value ; List, List_value ; List",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,, List_value ; List List_value ; List
89,add_introspection_rules,"List_value ; List, ",,D:\Testing\getsentry\sentry\src\sentry\db\models\fields\bounded.py,add_introspection_rules,2,,List_value ; List
