,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,MethodClass,Swap_arg_listing
2,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\studio-ousia\gsocketpool\docs\conf.py,insert,2,sys,0 ; <class 'int'>
3,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\sublee\elo\docs\conf.py,insert,2,sys,0 ; <class 'int'>
4,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\sublee\elo\docs\conf.py,insert,2,sys,0 ; <class 'int'>
5,Blueprint,"test ; <class 'str'>, __name__ ; <class 'str'>",bp,D:\Testing\sublee\flask-autoindex\tests\blueprinttest\__init__.py,Blueprint,2,, __name__ ; <class 'str'> test ; <class 'str'>
6,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\sublee\korean\docs\conf.py,insert,2,sys,0 ; <class 'int'>
7,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\sublee\korean\docs\conf.py,insert,2,sys,0 ; <class 'int'>
10,"OrderedDictSafeDumper,add_representer","OrderedDict ; <class 'str'>, <ast.Name object at 0x0000022BADE021F0> ; <class 'ast.Name'>",,D:\Testing\SublimeText\PackageDev\ordereddict_yaml\__init__.py,add_representer,2,OrderedDictSafeDumper, <ast.Name object at 0x0000022BADE021F0> ; <class 'ast.Name'> OrderedDict ; <class 'str'>
11,"yaml,add_representer","OrderedDict ; <class 'str'>, <ast.Name object at 0x0000022BADE352B0> ; <class 'ast.Name'>",,D:\Testing\SublimeText\PackageDev\ordereddict_yaml\__init__.py,add_representer,2,yaml, <ast.Name object at 0x0000022BADE352B0> ; <class 'ast.Name'> OrderedDict ; <class 'str'>
12,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\SublimeText\SublimeHg\tests\test_sublime_hg.py,insert,2,sys,0 ; <class 'int'>
16,"site,register","Program ; <class 'str'>, ProgramIndex ; <class 'str'>",,D:\Testing\sunlightlabs\clearspending\cfda\search_indexes.py,register,2,site, ProgramIndex ; <class 'str'> Program ; <class 'str'>
17,"admin,site,register","QuestionSet ; <class 'str'>, QuestionSetAdmin ; <class 'str'>",,D:\Testing\sunlightlabs\django-simplesurvey\simplesurvey\admin.py,register,2,admin, QuestionSetAdmin ; <class 'str'> QuestionSet ; <class 'str'>
18,"admin,site,register","AnswerSet ; <class 'str'>, AnswerSetAdmin ; <class 'str'>",,D:\Testing\sunlightlabs\django-simplesurvey\simplesurvey\admin.py,register,2,admin, AnswerSetAdmin ; <class 'str'> AnswerSet ; <class 'str'>
19,getattr,"settings ; <class 'str'>, WP_PER_PAGE ; <class 'str'>, 10 ; <class 'int'>",PER_PAGE,D:\Testing\sunlightlabs\django-wordpress\wordpress\views.py,getattr,3,, 10 ; <class 'int'>  WP_PER_PAGE ; <class 'str'> settings ; <class 'str'>
24,patterns," ; <class 'str'>, , , ",urlpatterns,D:\Testing\sunlightlabs\read_FEC\fecreader\reconciliation\urls.py,patterns,4,, ; <class 'str'>
25,date,"2012 ; <class 'int'>, 12 ; <class 'int'>, 31 ; <class 'int'>",cycle_iso_start,D:\Testing\sunlightlabs\read_FEC\fecreader\summary_data\utils\weekly_update_utils.py,date,3,, 31 ; <class 'int'>  12 ; <class 'int'> 2012 ; <class 'int'>
26,"admin,site,register","Category ; <class 'str'>, CategoryAdmin ; <class 'str'>",,D:\Testing\sunlightlabs\sunlightacademy\training\admin.py,register,2,admin, CategoryAdmin ; <class 'str'> Category ; <class 'str'>
27,"admin,site,register","Module ; <class 'str'>, ModuleAdmin ; <class 'str'>",,D:\Testing\sunlightlabs\sunlightacademy\training\admin.py,register,2,admin, ModuleAdmin ; <class 'str'> Module ; <class 'str'>
28,"admin,site,register","Training ; <class 'str'>, TrainingAdmin ; <class 'str'>",,D:\Testing\sunlightlabs\sunlightacademy\training\admin.py,register,2,admin, TrainingAdmin ; <class 'str'> Training ; <class 'str'>
29,"admin,site,register","Feedback ; <class 'str'>, FeedbackAdmin ; <class 'str'>",,D:\Testing\sunlightlabs\sunlightacademy\training\admin.py,register,2,admin, FeedbackAdmin ; <class 'str'> Feedback ; <class 'str'>
30,"admin,site,register","Profile ; <class 'str'>, ProfileAdmin ; <class 'str'>",,D:\Testing\sunlightlabs\sunlightacademy\training\admin.py,register,2,admin, ProfileAdmin ; <class 'str'> Profile ; <class 'str'>
